Date,Open,High,Low,Close,Adj Close,Volume
2003-06-24,24.299999,24.350000,23.955000,24.129999,12.196943,3626270
2003-06-25,24.209999,24.290001,24.025000,24.195000,12.229797,735350
2003-06-26,24.240000,24.725000,24.025000,24.545000,12.406713,1775880
2003-06-27,24.799999,25.100000,24.500000,24.895000,12.583626,582830
2003-06-30,25.445000,26.000000,24.959999,25.895000,13.089093,973310
2003-07-01,25.995001,26.700001,25.620001,26.145000,13.215463,1038810
2003-07-02,26.400000,26.600000,26.070000,26.370001,13.329190,968520
2003-07-03,26.600000,30.180000,26.600000,28.985001,14.650991,20235270
2003-07-04,28.900000,28.900000,27.315001,27.555000,13.928170,895570
2003-07-07,27.625000,28.680000,27.049999,27.770000,14.036847,638590
2003-07-08,29.004999,30.299999,28.250000,28.370001,14.340125,3673520
2003-07-09,28.900000,29.000000,28.100000,28.260000,14.284525,1534830
2003-07-10,27.000000,28.504999,27.000000,28.434999,14.372983,220030
2003-07-11,28.889999,29.100000,28.500000,28.995001,14.656045,1110880
2003-07-14,29.700001,30.000000,28.105000,28.530001,14.421006,1226470
2003-07-15,28.610001,29.309999,27.504999,27.610001,13.955971,907220
2003-07-16,27.950001,28.400000,27.660000,28.045000,14.175851,773440
2003-07-17,28.184999,28.190001,27.100000,27.355000,13.827075,551490
2003-07-18,27.100000,27.799999,26.799999,27.650000,13.976192,297860
2003-07-21,28.000000,28.040001,27.350000,27.785000,14.044430,502770
2003-07-22,27.900000,27.900000,26.799999,26.895000,13.594561,232980
2003-07-23,27.125000,27.200001,25.299999,25.475000,12.876797,17106050
2003-07-24,25.875000,26.100000,25.700001,25.885000,13.084041,942980
2003-07-25,25.900000,26.825001,25.850000,26.485001,13.387320,547450
2003-07-28,26.740000,27.000000,26.400000,26.750000,13.521269,413730
2003-07-29,26.870001,26.870001,26.000000,26.340000,13.314026,1458140
2003-07-30,26.455000,27.270000,26.400000,27.170000,13.733569,1054990
2003-07-31,27.200001,27.275000,26.299999,26.655001,13.473248,668430
2003-08-01,26.790001,26.790001,26.350000,26.629999,13.460613,4267820
2003-08-04,26.600000,27.100000,26.600000,26.910000,13.602143,325630
2003-08-05,27.000000,28.290001,27.000000,28.059999,14.183434,3047760
2003-08-06,27.700001,28.025000,26.995001,27.295000,13.796751,752770
2003-08-07,27.495001,27.525000,27.010000,27.209999,13.753783,335260
2003-08-08,27.200001,28.100000,26.799999,27.545000,13.923114,1496440
2003-08-11,27.799999,27.799999,27.299999,27.445000,13.872566,160810
2003-08-12,27.900000,28.000000,27.049999,27.240000,13.768949,161820
2003-08-13,26.600000,27.690001,26.500000,27.155001,13.725986,1387340
2003-08-14,27.100000,27.600000,26.400000,26.680000,13.485885,705740
2003-08-18,26.680000,28.000000,26.680000,27.745001,14.024210,427660
